
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.09e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :     1200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
   147  3.7286857e-04  1.2287772e-04   3.74e-05     0.0      20       0
   148  3.6200236e-04  1.5953878e-04   3.79e-05     0.0      20       0
   149  3.5362522e-04  1.0035470e-04   3.40e-05     0.0      20       0
   150  3.4308710e-04  2.1855705e-04   3.81e-05     0.0      20       0
   151  3.4384782e-04  4.7096047e-04   5.11e-05    -0.3      20       0
   152  3.2954458e-04  1.6899732e-04   3.51e-05     0.0      20       0
   153  3.2504578e-04  9.4663232e-05   3.13e-05     0.0      20       0

 EXIT -- Optimal solution found

 Products with A     :     213        Total time   (secs) :     1.0
 Products with A'    :     154        Project time (secs) :     0.2
 Newton iterations   :       0        Mat-vec time (secs) :     0.3
 Line search its     :      79        Subspace iterations :       0

