
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :    12800      No. columns           :    73051
 Initial tau           : 2.21e+05      Two-norm of b         : 4.17e+03
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.21e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
   185  3.5624516e+02  9.0308787e+00   6.18e+00     0.0    7986       0
   186  3.5614642e+02  5.0302329e+00   5.03e+00     0.0    7964       0
   187  3.5610534e+02  2.8351463e+00   4.40e+00     0.0    7959       0
   188  3.5605361e+02  2.8006440e+00   4.38e+00     0.0    7946       0
   189  3.5581277e+02  9.4239227e+00   6.28e+00     0.0    7920       0
   190  3.5582166e+02  2.3698694e+01   1.04e+01    -0.3    7938       0
   191  3.5568481e+02  9.1392939e+00   6.19e+00     0.0    7944       0
   192  3.5562553e+02  2.8625999e+00   4.39e+00     0.0    7932       0
   193  3.5559411e+02  2.8340800e+00   4.39e+00     0.0    7926       0
   194  3.5513480e+02  1.4223778e+01   7.63e+00     0.0    7882       0
   195  3.5549379e+02  4.0439260e+01   1.51e+01    -0.3    7913       0
   196  3.5546040e+02  4.2617309e+01   1.58e+01     0.0    7946       0
   197  3.5495152e+02  8.0100674e+00   5.85e+00     0.0    7953       0
   198  3.5491686e+02  3.1460153e+00   4.46e+00     0.0    7925       0
   199  3.5485883e+02  2.7584750e+00   4.35e+00     0.0    7904       0
   200  3.5456416e+02  7.2244727e+00   5.62e+00     0.0    7880       0

 ERROR EXIT -- Too many iterations

 Products with A     :     286        Total time   (secs) :    29.0
 Products with A'    :     201        Project time (secs) :     2.3
 Newton iterations   :       0        Mat-vec time (secs) :    24.1
 Line search its     :     132        Subspace iterations :       0

